Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
24542     	0.1070         	0.033494       	2430000   	0.1000    	177.60         
24578     	0.0699         	0.035081       	2440000   	0.1000    	212.20         
24608     	0.0990         	0.033909       	2450000   	0.1000    	230.70         
24641     	0.1101         	0.035925       	2460000   	0.1000    	175.70         
24681     	0.0675         	0.035638       	2470000   	0.1000    	182.20         
24714     	0.0772         	0.038728       	2480000   	0.1000    	210.90         
24747     	0.0788         	0.039781       	2490000   	0.1000    	227.60         
24786     	0.1140         	0.038275       	2500000   	0.1000    	243.20         
24824     	0.0759         	0.040544       	2510000   	0.1000    	238.20         
24861     	0.1149         	0.039884       	2520000   	0.1000    	198.00         
24898     	0.0659         	0.040188       	2530000   	0.1000    	260.40         
24932     	0.0772         	0.038778       	2540000   	0.1000    	179.60         
24964     	0.1053         	0.039478       	2550000   	0.1000    	234.00         
25002     	0.0838         	0.040978       	2560000   	0.1000    	262.10         
25039     	0.0972         	0.041372       	2570000   	0.1000    	167.40         
25083     	0.1007         	0.040028       	2580000   	0.1000    	212.10         
25120     	0.0733         	0.038409       	2590000   	0.1000    	239.60         
25158     	0.0987         	0.038459       	2600000   	0.1000    	276.60         
25198     	0.0835         	0.037831       	2610000   	0.1000    	244.50         
25236     	0.0918         	0.041228       	2620000   	0.1000    	215.60         
25274     	0.0635         	0.040647       	2630000   	0.1000    	182.60         
25311     	0.0830         	0.040806       	2640000   	0.1000    	224.00         
25352     	0.0942         	0.040888       	2650000   	0.1000    	164.50         
25392     	0.0798         	0.041753       	2660000   	0.1000    	239.00         
25430     	0.1084         	0.044469       	2670000   	0.1000    	195.10         
25461     	0.0961         	0.045647       	2680000   	0.1000    	248.40         
25495     	0.1194         	0.045084       	2690000   	0.1000    	217.20         
25534     	0.1015         	0.047175       	2700000   	0.1000    	220.70         
25575     	0.0752         	0.046578       	2710000   	0.1000    	251.40         
25620     	0.0786         	0.045622       	2720000   	0.1000    	240.00         
25655     	0.1185         	0.047034       	2730000   	0.1000    	242.00         
25696     	0.0800         	0.048453       	2740000   	0.1000    	129.70         
25736     	0.0724         	0.048094       	2750000   	0.1000    	228.90         
25772     	0.1280         	0.048659       	2760000   	0.1000    	209.70         
25813     	0.0620         	0.048756       	2770000   	0.1000    	227.60         
25848     	0.1104         	0.047606       	2780000   	0.1000    	225.70         
25886     	0.0822         	0.049134       	2790000   	0.1000    	223.00         
25925     	0.0791         	0.048344       	2800000   	0.1000    	198.00         
25961     	0.0763         	0.049181       	2810000   	0.1000    	193.00         
26008     	0.0919         	0.051066       	2820000   	0.1000    	168.00         
26051     	0.0724         	0.052091       	2830000   	0.1000    	179.80         
26086     	0.0995         	0.054300       	2840000   	0.1000    	148.80         
26122     	0.0818         	0.054688       	2850000   	0.1000    	239.30         
26164     	0.0659         	0.052281       	2860000   	0.1000    	177.20         
26207     	0.0578         	0.053503       	2870000   	0.1000    	193.50         
26247     	0.0860         	0.053903       	2880000   	0.1000    	185.90         
26286     	0.0652         	0.056053       	2890000   	0.1000    	213.60         
26326     	0.0772         	0.055516       	2900000   	0.1000    	145.60         
26363     	0.0896         	0.057059       	2910000   	0.1000    	210.60         
26408     	0.0628         	0.057053       	2920000   	0.1000    	206.40         
26439     	0.0988         	0.056519       	2930000   	0.1000    	163.40         
26472     	0.0803         	0.056219       	2940000   	0.1000    	174.60         
26514     	0.0741         	0.057022       	2950000   	0.1000    	146.70         
26561     	0.0883         	0.055469       	2960000   	0.1000    	219.70         
26596     	0.0947         	0.055088       	2970000   	0.1000    	176.40         
26632     	0.0894         	0.054288       	2980000   	0.1000    	224.20         
26672     	0.1428         	0.054534       	2990000   	0.1000    	214.30         
26711     	0.1061         	0.056894       	3000000   	0.1000    	123.80         
26745     	0.1190         	0.056575       	3010000   	0.1000    	133.90         
