Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
25726     	0.0436         	0.008756       	1990000   	0.1000    	98.00          
25764     	0.0605         	0.008984       	2000000   	0.1000    	76.40          
25804     	0.0511         	0.008728       	2010000   	0.1000    	86.20          
25837     	0.0571         	0.009253       	2020000   	0.1000    	103.00         
25871     	0.0575         	0.009875       	2030000   	0.1000    	85.30          
25912     	0.0701         	0.009759       	2040000   	0.1000    	108.80         
25951     	0.0521         	0.009297       	2050000   	0.1000    	82.80          
25991     	0.0742         	0.009550       	2060000   	0.1000    	77.30          
26032     	0.0564         	0.010147       	2070000   	0.1000    	68.40          
26075     	0.0684         	0.010128       	2080000   	0.1000    	71.80          
26107     	0.0560         	0.010553       	2090000   	0.1000    	98.40          
26146     	0.0661         	0.010341       	2100000   	0.1000    	48.20          
26189     	0.0477         	0.009850       	2110000   	0.1000    	101.60         
26231     	0.0499         	0.010406       	2120000   	0.1000    	88.80          
26269     	0.0567         	0.010697       	2130000   	0.1000    	62.50          
26310     	0.0790         	0.011272       	2140000   	0.1000    	97.60          
26342     	0.0542         	0.011206       	2150000   	0.1000    	79.80          
26382     	0.0703         	0.011109       	2160000   	0.1000    	75.20          
26424     	0.0621         	0.011881       	2170000   	0.1000    	48.20          
26463     	0.0549         	0.011406       	2180000   	0.1000    	94.80          
26502     	0.0551         	0.012625       	2190000   	0.1000    	89.20          
26541     	0.0782         	0.011050       	2200000   	0.1000    	110.20         
26576     	0.0611         	0.011472       	2210000   	0.1000    	126.70         
26616     	0.0677         	0.012409       	2220000   	0.1000    	97.90          
26656     	0.0525         	0.012522       	2230000   	0.1000    	144.10         
26692     	0.0704         	0.012744       	2240000   	0.1000    	159.70         
26729     	0.0654         	0.013841       	2250000   	0.1000    	107.70         
26768     	0.0527         	0.013716       	2260000   	0.1000    	106.50         
26809     	0.0537         	0.014488       	2270000   	0.1000    	80.50          
26850     	0.0737         	0.013831       	2280000   	0.1000    	106.10         
26893     	0.0488         	0.013412       	2290000   	0.1000    	101.20         
26938     	0.0918         	0.013934       	2300000   	0.1000    	52.90          
26980     	0.0760         	0.014303       	2310000   	0.1000    	110.10         
27011     	0.0704         	0.013203       	2320000   	0.1000    	113.60         
27050     	0.0770         	0.013488       	2330000   	0.1000    	125.00         
27088     	0.0719         	0.013712       	2340000   	0.1000    	162.20         
27128     	0.0681         	0.014166       	2350000   	0.1000    	86.30          
27169     	0.0625         	0.014891       	2360000   	0.1000    	114.30         
27206     	0.0547         	0.015309       	2370000   	0.1000    	133.50         
27251     	0.0743         	0.015022       	2380000   	0.1000    	109.20         
27290     	0.0530         	0.015575       	2390000   	0.1000    	104.30         
27327     	0.0595         	0.015531       	2400000   	0.1000    	117.20         
27366     	0.0608         	0.016153       	2410000   	0.1000    	80.90          
27401     	0.0597         	0.016084       	2420000   	0.1000    	92.40          
27437     	0.1144         	0.015459       	2430000   	0.1000    	129.60         
27475     	0.0607         	0.016403       	2440000   	0.1000    	156.10         
27512     	0.0619         	0.017794       	2450000   	0.1000    	111.00         
27554     	0.0592         	0.016638       	2460000   	0.1000    	122.50         
27589     	0.0774         	0.019381       	2470000   	0.1000    	125.10         
27629     	0.0743         	0.018481       	2480000   	0.1000    	165.70         
27667     	0.0748         	0.018503       	2490000   	0.1000    	158.30         
27703     	0.0953         	0.017938       	2500000   	0.1000    	107.30         
27745     	0.0925         	0.019303       	2510000   	0.1000    	116.10         
27787     	0.0594         	0.019750       	2520000   	0.1000    	118.90         
27821     	0.0591         	0.020681       	2530000   	0.1000    	124.80         
27863     	0.0547         	0.021022       	2540000   	0.1000    	113.60         
27904     	0.0657         	0.018669       	2550000   	0.1000    	106.10         
27941     	0.0647         	0.019069       	2560000   	0.1000    	148.30         
27983     	0.0567         	0.017172       	2570000   	0.1000    	141.40         
28015     	0.0896         	0.018359       	2580000   	0.1000    	104.80         
28054     	0.0635         	0.019175       	2590000   	0.1000    	119.00         
28090     	0.0847         	0.019744       	2600000   	0.1000    	100.00         
28127     	0.0788         	0.019944       	2610000   	0.1000    	130.30         
28166     	0.0607         	0.023594       	2620000   	0.1000    	110.70         
28205     	0.0684         	0.020588       	2630000   	0.1000    	128.70         
28242     	0.0638         	0.020500       	2640000   	0.1000    	129.10         
28285     	0.0735         	0.021688       	2650000   	0.1000    	107.40         
28326     	0.0547         	0.022038       	2660000   	0.1000    	129.30         
28362     	0.0636         	0.023750       	2670000   	0.1000    	131.50         
28397     	0.0944         	0.022738       	2680000   	0.1000    	152.10         
28437     	0.0714         	0.026491       	2690000   	0.1000    	185.80         
28472     	0.0707         	0.025350       	2700000   	0.1000    	161.90         
28513     	0.0657         	0.024981       	2710000   	0.1000    	141.90         
28551     	0.0586         	0.024616       	2720000   	0.1000    	112.60         
28588     	0.0793         	0.025303       	2730000   	0.1000    	143.50         
28624     	0.0830         	0.025266       	2740000   	0.1000    	160.40         
28663     	0.0833         	0.021519       	2750000   	0.1000    	181.40         
28702     	0.0784         	0.022759       	2760000   	0.1000    	79.20          
28741     	0.0706         	0.024250       	2770000   	0.1000    	104.90         
28782     	0.0819         	0.024616       	2780000   	0.1000    	183.90         
28821     	0.0674         	0.024397       	2790000   	0.1000    	158.90         
28859     	0.0666         	0.024725       	2800000   	0.1000    	147.30         
28898     	0.0860         	0.025794       	2810000   	0.1000    	177.30         
28933     	0.0718         	0.024116       	2820000   	0.1000    	157.30         
28973     	0.0746         	0.025641       	2830000   	0.1000    	141.20         
29012     	0.1251         	0.025822       	2840000   	0.1000    	133.00         
29048     	0.0643         	0.027831       	2850000   	0.1000    	219.50         
29088     	0.1272         	0.026641       	2860000   	0.1000    	204.40         
29123     	0.0970         	0.025806       	2870000   	0.1000    	103.70         
29158     	0.0595         	0.026653       	2880000   	0.1000    	148.20         
29196     	0.0859         	0.028266       	2890000   	0.1000    	189.10         
29233     	0.0674         	0.027541       	2900000   	0.1000    	182.30         
29274     	0.0589         	0.028497       	2910000   	0.1000    	162.30         
29311     	0.0865         	0.026009       	2920000   	0.1000    	209.50         
29351     	0.0901         	0.028309       	2930000   	0.1000    	204.00         
29389     	0.0938         	0.029259       	2940000   	0.1000    	149.90         
29425     	0.0691         	0.028469       	2950000   	0.1000    	128.70         
29462     	0.0820         	0.028725       	2960000   	0.1000    	120.90         
29498     	0.0814         	0.030319       	2970000   	0.1000    	157.50         
29538     	0.0598         	0.031253       	2980000   	0.1000    	146.50         
29571     	0.0827         	0.032084       	2990000   	0.1000    	147.30         
29613     	0.0756         	0.029669       	3000000   	0.1000    	170.70         
29652     	0.0679         	0.032500       	3010000   	0.1000    	111.10         
29691     	0.0979         	0.029525       	3020000   	0.1000    	131.10         
29728     	0.0867         	0.032488       	3030000   	0.1000    	144.00         
29767     	0.0694         	0.033353       	3040000   	0.1000    	127.30         
