Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
22087     	0.0289         	0.002137       	1610000   	0.1000    	73.10          
22130     	0.0276         	0.002232       	1620000   	0.1000    	101.70         
22171     	0.0299         	0.002219       	1630000   	0.1000    	73.30          
22208     	0.0286         	0.002314       	1640000   	0.1000    	89.40          
22245     	0.0293         	0.002853       	1650000   	0.1000    	72.20          
22283     	0.0303         	0.002723       	1660000   	0.1000    	87.10          
22321     	0.0294         	0.002641       	1670000   	0.1000    	89.10          
22358     	0.0298         	0.002691       	1680000   	0.1000    	103.60         
22395     	0.0298         	0.002582       	1690000   	0.1000    	121.80         
22433     	0.0302         	0.002522       	1700000   	0.1000    	102.30         
22470     	0.0295         	0.002550       	1710000   	0.1000    	99.10          
22507     	0.0315         	0.002578       	1720000   	0.1000    	109.20         
22547     	0.0321         	0.002458       	1730000   	0.1000    	135.20         
22586     	0.0306         	0.002476       	1740000   	0.1000    	120.60         
22622     	0.0331         	0.002492       	1750000   	0.1000    	98.20          
22659     	0.0333         	0.002664       	1760000   	0.1000    	133.00         
22697     	0.0325         	0.002817       	1770000   	0.1000    	98.40          
22740     	0.0294         	0.002705       	1780000   	0.1000    	141.70         
22779     	0.0299         	0.002640       	1790000   	0.1000    	104.80         
22816     	0.0327         	0.002817       	1800000   	0.1000    	100.20         
22848     	0.0320         	0.002759       	1810000   	0.1000    	148.20         
22886     	0.0311         	0.002717       	1820000   	0.1000    	143.80         
22926     	0.0318         	0.002554       	1830000   	0.1000    	109.10         
22959     	0.0303         	0.002726       	1840000   	0.1000    	130.70         
22996     	0.0305         	0.002835       	1850000   	0.1000    	124.60         
23034     	0.0305         	0.002939       	1860000   	0.1000    	169.10         
23073     	0.0301         	0.003021       	1870000   	0.1000    	127.60         
23108     	0.0323         	0.002744       	1880000   	0.1000    	115.10         
23146     	0.0331         	0.002863       	1890000   	0.1000    	84.20          
23182     	0.0319         	0.002837       	1900000   	0.1000    	113.80         
23221     	0.0361         	0.002950       	1910000   	0.1000    	91.50          
23257     	0.0308         	0.003042       	1920000   	0.1000    	109.70         
23294     	0.0320         	0.003076       	1930000   	0.1000    	145.10         
23333     	0.0308         	0.003069       	1940000   	0.1000    	128.90         
23367     	0.0328         	0.003274       	1950000   	0.1000    	152.50         
23406     	0.0313         	0.003159       	1960000   	0.1000    	135.90         
23442     	0.0331         	0.003388       	1970000   	0.1000    	129.90         
23477     	0.0349         	0.003298       	1980000   	0.1000    	136.10         
23521     	0.0312         	0.003319       	1990000   	0.1000    	137.00         
23554     	0.0344         	0.003532       	2000000   	0.1000    	137.50         
23590     	0.0340         	0.003732       	2010000   	0.1000    	117.20         
23626     	0.0321         	0.003340       	2020000   	0.1000    	126.50         
23667     	0.0324         	0.003546       	2030000   	0.1000    	105.90         
23703     	0.0305         	0.003649       	2040000   	0.1000    	103.20         
23737     	0.0317         	0.003286       	2050000   	0.1000    	137.10         
23782     	0.0330         	0.003628       	2060000   	0.1000    	119.80         
23822     	0.0389         	0.003895       	2070000   	0.1000    	129.70         
23852     	0.0339         	0.004292       	2080000   	0.1000    	154.90         
23894     	0.0320         	0.004203       	2090000   	0.1000    	154.50         
23931     	0.0342         	0.004265       	2100000   	0.1000    	183.30         
23962     	0.0314         	0.004088       	2110000   	0.1000    	169.50         
24003     	0.0307         	0.004065       	2120000   	0.1000    	151.70         
24041     	0.0313         	0.004254       	2130000   	0.1000    	136.30         
24080     	0.0331         	0.004115       	2140000   	0.1000    	147.30         
24116     	0.0333         	0.004135       	2150000   	0.1000    	137.60         
24158     	0.0339         	0.004738       	2160000   	0.1000    	172.60         
24191     	0.0309         	0.004648       	2170000   	0.1000    	157.50         
24228     	0.0318         	0.004671       	2180000   	0.1000    	107.00         
24267     	0.0316         	0.004714       	2190000   	0.1000    	166.60         
24302     	0.0348         	0.005015       	2200000   	0.1000    	114.10         
24339     	0.0330         	0.005071       	2210000   	0.1000    	162.80         
24378     	0.0365         	0.005191       	2220000   	0.1000    	106.40         
24419     	0.0341         	0.005091       	2230000   	0.1000    	132.80         
24456     	0.0319         	0.005188       	2240000   	0.1000    	159.40         
24491     	0.0374         	0.005578       	2250000   	0.1000    	232.40         
24527     	0.0370         	0.005160       	2260000   	0.1000    	148.10         
24563     	0.0333         	0.005359       	2270000   	0.1000    	87.30          
24597     	0.0371         	0.005469       	2280000   	0.1000    	115.80         
24632     	0.0352         	0.005419       	2290000   	0.1000    	169.30         
24676     	0.0301         	0.005535       	2300000   	0.1000    	189.70         
24716     	0.0342         	0.005330       	2310000   	0.1000    	162.40         
24747     	0.0337         	0.005101       	2320000   	0.1000    	218.20         
24783     	0.0347         	0.005365       	2330000   	0.1000    	134.20         
24817     	0.0337         	0.005336       	2340000   	0.1000    	144.30         
24851     	0.0360         	0.005163       	2350000   	0.1000    	169.90         
24885     	0.0341         	0.005465       	2360000   	0.1000    	175.00         
24921     	0.0375         	0.005828       	2370000   	0.1000    	183.10         
24958     	0.0360         	0.006303       	2380000   	0.1000    	196.90         
24994     	0.0390         	0.006336       	2390000   	0.1000    	168.80         
25031     	0.0316         	0.006777       	2400000   	0.1000    	181.70         
25065     	0.0332         	0.006708       	2410000   	0.1000    	171.90         
25104     	0.0321         	0.006800       	2420000   	0.1000    	134.40         
25136     	0.0365         	0.006336       	2430000   	0.1000    	190.90         
25171     	0.0371         	0.006761       	2440000   	0.1000    	208.60         
25208     	0.0365         	0.006495       	2450000   	0.1000    	173.60         
25245     	0.0349         	0.005726       	2460000   	0.1000    	164.90         
25281     	0.0329         	0.006049       	2470000   	0.1000    	166.30         
25323     	0.0305         	0.006082       	2480000   	0.1000    	197.90         
25355     	0.0359         	0.006203       	2490000   	0.1000    	139.10         
25394     	0.0327         	0.006362       	2500000   	0.1000    	214.80         
25429     	0.0329         	0.006165       	2510000   	0.1000    	149.60         
25467     	0.0357         	0.006518       	2520000   	0.1000    	180.50         
25506     	0.0368         	0.006747       	2530000   	0.1000    	188.70         
25542     	0.0343         	0.006548       	2540000   	0.1000    	104.80         
25579     	0.0347         	0.006240       	2550000   	0.1000    	138.90         
25615     	0.0360         	0.006236       	2560000   	0.1000    	152.00         
25650     	0.0374         	0.006376       	2570000   	0.1000    	210.10         
25683     	0.0387         	0.006638       	2580000   	0.1000    	155.10         
25716     	0.0400         	0.006541       	2590000   	0.1000    	192.90         
25759     	0.0319         	0.006835       	2600000   	0.1000    	132.10         
25791     	0.0385         	0.006564       	2610000   	0.1000    	195.50         
25829     	0.0367         	0.007238       	2620000   	0.1000    	128.30         
25869     	0.0362         	0.007255       	2630000   	0.1000    	128.60         
25905     	0.0385         	0.007193       	2640000   	0.1000    	177.20         
25941     	0.0316         	0.007093       	2650000   	0.1000    	222.80         
25978     	0.0326         	0.007220       	2660000   	0.1000    	141.50         
26008     	0.0379         	0.006752       	2670000   	0.1000    	166.00         
26043     	0.0358         	0.006672       	2680000   	0.1000    	215.00         
26085     	0.0317         	0.006342       	2690000   	0.1000    	122.20         
26124     	0.0338         	0.006469       	2700000   	0.1000    	231.90         
26156     	0.0388         	0.006250       	2710000   	0.1000    	190.20         
26190     	0.0349         	0.006021       	2720000   	0.1000    	176.90         
26226     	0.0351         	0.006160       	2730000   	0.1000    	170.50         
26261     	0.0356         	0.006227       	2740000   	0.1000    	151.20         
26301     	0.0305         	0.006204       	2750000   	0.1000    	104.50         
26336     	0.0352         	0.006184       	2760000   	0.1000    	167.80         
26372     	0.0365         	0.006492       	2770000   	0.1000    	211.20         
26408     	0.0309         	0.006602       	2780000   	0.1000    	214.10         
